lp,RSPO,REGON,nip,Nazwa szkoły,Powiat,Gmina,Miejscowość,Ulica,Numer domu,tel.,email,Numer telefonu kontaktowego do organu prowadzącego,Adres e-mail do organu prowadzącego,Adres witryny internetowej organu prowadzącego (jeżeli nie posiada należy wpisać „nie posiada”),ORGAN regon,ORGAN nip,REGON szkoły,Numer szkoły w Rejestrze Szkół i Placówek Oświatowych (RSPO),Numer telefonu kontaktowego do szkoły,Adres kontaktowy e-mail do szkoły,Adres witryny internetowej szkoły (jeżeli nie posiada należy wpisać „nie posiada”),Imię dyr.,Nazwisko dyr.,Imię wice,Nazwisko wice,Dziewczęta w szkole w klasach IV - VIII,Chłopcy w szkole w klasach IV - VIII,suma,grupa
150,18693,1132130,8141277943,SZKOŁA PODSTAWOWA IM. KRÓLOWEJ JADWIGI W WIDEŁCE,kolbuszowski,Kolbuszowa,Widełka,,191,,zswidelka@op.pl,172271333,um@ekolbuszowa.pl,kolbuszowa.pl,690581666,,1132130,18693,123272,150@mail.pl,nie posiada,Mirosław,Weiss,brak,brak,44,51,95,mała
151,18957,1136842,8191419730,SZKOŁA PODSTAWOWA ŚW. JÓZEFA SEBASTIANA PELCZARA W JAWORNIKU,strzyżowski,Niebylec,Jawornik,,108,172773025,spjawornik2@interia.pl,172773002,sekretariat@niebylec.com.pl,https://www.niebylec.pl,690582192,8191565408,1136842,18957,123273,151@mail.pl,www.spjawornik.gminaniebylec.pl,Paweł,Janeczko,brak,brak,24,21,45,mała
152,19032,1136807,8191419865,SZKOŁA PODSTAWOWA IM. KS. BRONISŁAWA MARKIEWICZA W BARYCZCE,strzyżowski,Niebylec,Baryczka,,212,,szkola.baryczka@o2.pl,172773002,sekretariat@niebylec.com.pl,https://gminaniebylec.pl,690582192,8191565408,1136807,19032,123274,152@mail.pl,https://www.spbaryczka.gminaniebylec.pl/,Ewa,Nizińska,brak,brak,12,22,34,mała
153,19369,1208346,7941648671,SZKOŁA PODSTAWOWA IM. ŚW. BRATA ALBERTA W ŻURAWICZKACH,przeworski,Zarzecze,Żurawiczki,,82,,spzurawiczki@itl.pl,166401529,ugzarzecze@post.pl,https://www.gminazarzecze.pl,650900542,,1208346,19369,123275,153@mail.pl,www.spzurawiczki.edupage.org,Monika,Benewiat,brak,brak,28,20,48,mała
154,19497,1207878,7931431119,SZKOŁA PODSTAWOWA W ZALESIU,lubaczowski,Oleszyce,Zalesie,,72,,spzalesie@o2.pl,166315010,sekretariat@ug.oleszyce.pl,https://oleszyce.pl,650900619,,1207878,19497,123276,154@mail.pl,https://spzalesie72.edupage.org,Beata,Majka,brak,brak,17,18,35,mała
155,19500,1197677,6842149579,SZKOŁA PODSTAWOWA W FALISZÓWCE,krośnieński,Chorkówka,Faliszówka,,174,,spfaliszowka1@op.pl,134386930,urzad@chorkowka.pl,www.chorkowka.pl,370440525,,1197677,19500,123277,155@mail.pl,www.spfaliszowka.szkolna.net,Bogusława,Zięba,brak,brak,22,17,39,mała
156,19501,1197507,6842148976,SZKOŁA PODSTAWOWA W SZCZEPAŃCOWEJ,krośnieński,Chorkówka,Szczepańcowa,ul. Szkolna,3,,spszczepancowa@op.pl,134386930,urzad@chorkowka.pl,https://chorkowka.pl,370440525,,1197507,19501,123278,156@mail.pl,https://spszczepancowa.szkolna.net,Edyta,Drozd-Ulijasz,brak,brak,16,21,37,mała
157,19503,1139763,8171820464,SZKOŁA PODSTAWOWA W CZAJKOWEJ IM.ŚW.JANA PAWŁA II,mielecki,Tuszów Narodowy,Czajkowa,,60,,spczajkowa@tuszownarodowy.pl,177743739,oswiata@tuszownarodowy.pl,www.tuszownarodowy.pl,690581933,8171984740,1139763,19503,123279,157@mail.pl,spczajkowa.edupage.org,Elżbieta,Flis,brak,brak,22,24,46,mała
158,19504,1139757,8171821624,SZKOŁA PODSTAWOWA W BORKACH NIZIŃSKICH IM.ŚW.ANDRZEJA BOBOLI,mielecki,Tuszów Narodowy,Borki Nizińskie,,18,175839001,spborkiniz@tuszownarodowy.pl,177743739,oswiata@tuszownarodowy.pl,https://www.tuszownarodowy.p,690581933,8171984740,1139757,19504,123280,158@mail.pl,http://spborki.webd.pro/,Barbara ,Duma,brak,brak,15,13,28,mała
159,19590,837465,8651427270,PUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR7 IM. MIKOŁAJA KOPERNIKA W STALOWEJ WOLI,stalowowolski,Stalowa Wola,Stalowa Wola,ul. Generała Leopolda Okulickiego,14,,psp7@stalowawola.pl,156433478,um@stalowawola.pl,www.stalowawola.pl,830409086,,837465,19590,123281,159@mail.pl,https://psp7stalowa.pl/,Alicja,Grębowiec,brak,brak,184,217,401,duża
160,19696,650104443,7941104617,SZKOŁA PODSTAWOWA NR 1 IM JANA PAWŁA II,przeworski,Przeworsk,Przeworsk,ul. Marii Konopnickiej,5,166487268,sp1@przeworsk.um.gov.pl,166487844,info@przeworsk.um.gov.pl,https://przeworsk.um.gov.pl/,650900499,,650104443,19696,123282,160@mail.pl,https://sp1przeworsk.edupage.org,Barbara,Kozieja,brak,brak,250,221,471,duża
161,19732,1130940,8171808084,SZKOŁA PODSTAWOWA W OTAŁĘŻY,mielecki,Czermin,Otałęż,,15,177741010,spotalez@poczta.onet.pl,177741922,ug@czermin.pl,https://czermin.pl,690581896,,1130940,19732,123283,161@mail.pl,spotalez.pl,Halina,Bieńko,brak,brak,27,31,58,mała
162,19733,559813,8171808055,SZKOŁA PODSTAWOWA W CZERMINIE,mielecki,Czermin,Czermin,,454,177740315,zszpwc454@interia.pl,177741922,ug@czermin.pl,czermin.pl,690581896,,559813,19733,123284,162@mail.pl,zspczermin.pl,Anna,Nowak-Maluchnik,brak,brak,99,116,215,średnia
163,19754,837436,8651450926,PUBLICZNA SZKOŁA PODSTAWOWA NR4 IM. EUGENIUSZA KWIATKOWSKIEGO W STALOWEJ WOLI,stalowowolski,Stalowa Wola,Stalowa Wola,ul. Niezłomnych,1,,szkola4@stalowawola.pl,156433478,um@stalowawola.pl,www.stalowawola.pl,830409086,,837436,19754,123285,163@mail.pl,nie posiada,Iwona,Czerkowicz,brak,brak,86,98,184,średnia
164,19947,1197520,6842149450,SZKOŁA PODSTAWOWA IM. KAROLA KLOBASSY-ZRENCKIEGO W ŻEGLCACH,krośnieński,Chorkówka,Żeglce,,242,,spzeglce@szkolna.net,134386930,urzad@chorkowka.pl,www.chorkowka.pl,370440525,,1197520,19947,123286,164@mail.pl,www.spzeglce.szkolna.net,Roman,Tymcio,brak,brak,26,26,52,mała
165,20332,1056801,7921963375,SZKOŁA PODSTAWOWA NR 9 IM. TADEUSZA KOŚCIUSZKI,jarosławski,Jarosław,Jarosław,ul. Łazy Kostkowskie,14,,sekretariat@sp9.jaroslaw.pl,166248701,sekretariat@um.jaroslaw.pl,https://miastojaroslaw.pl/,650900520,,1056801,20332,123287,165@mail.pl,https://www.sp9.jaroslaw.pl/,Marta,Kurecka,brak,brak,30,19,49,mała
166,20343,1056787,7921045018,SZKOŁA PODSTAWOWA NR 6 IM. KS. PIOTRA SKARGI,jarosławski,Jarosław,Jarosław,ul. Spytka z Jarosławia,2,166213494,sekretariat@sp6.jaroslaw.pl,166248701,sekretariat@um.jaroslaw.pl,www.miastojaroslaw.pl ,650900520,,1056787,20343,123288,166@mail.pl,www.sp6.jaroslaw.pl,Patrycja ,Pyzik,brak,brak,61,71,132,średnia
167,20344,650166214,7921019216,SZKOŁA PODSTAWOWA NR 4 IM. STEFANA ŻEROMSKIEGO,jarosławski,Jarosław,Jarosław,ul. Żeromskiego,4,166211248,sekretariat@sp4.jaroslaw.pl,166248700,kancelaria@um.jaroslaw.pl,poczta.miastojaroslaw.pl,650900520,,650166214,20344,123289,167@mail.pl,www.sp4.jaroslaw.pl,Grażyna,Świstak,brak,brak,149,152,301,duża
168,20345,1056793,7921020082,SZKOŁA PODSTAWOWA NR 7 IM. KS. STANISŁAWA STASZICA,jarosławski,Jarosław,Jarosław,ul. Dolnoleżajska,110,166216077,sekretariat@sp7.jaroslaw.pl,166248700,kancelaria@um.jaroslaw.pl,https://miastojaroslaw.pl/,650900520,,1056793,20345,123290,168@mail.pl,https://sp7jaroslaw.edupage.org/about/,Barbara,Wójtowicz,brak,brak,35,30,65,mała
169,20346,650165640,7921018085,SZKOŁA PODSTAWOWA NR 10 IM. WOJSKA POLSKIEGO,jarosławski,Jarosław,Jarosław,os. Słoneczne,7,166216225,sekretariat@sp10.jaroslaw.pl,166248701,sekretariat@um.jaroslaw.pl,https://miastojaroslaw.pl/,650900520,,650165640,20346,123291,169@mail.pl,https://sp10jaroslaw.pl/,Maria,Filipowicz,brak,brak,162,148,310,duża
170,20348,1056824,7921034569,SZKOŁA PODSTAWOWA NR 11 Z ODDZIAŁAMI INTEGRACYJNYMI IM. ADAMA MICKIEWICZA,jarosławski,Jarosław,Jarosław,ul. Ignacego Kraszewskiego,39,166212443,sekretariat@sp11.jaroslaw.pl,166248701,sekretariat@um.jaroslaw.pl,https://miastojaroslaw.pl/,650900520,,1056824,20348,123292,170@mail.pl,http://www.sp11jaroslaw.pl/,Ewa,Szopa,brak,brak,132,113,245,średnia
171,20357,180893314,7922300151,SZKOŁA PODSTAWOWA SIÓSTR NIEPOKALANEK IM. BŁ. M. MARCELINY DAROWSKIEJ,jarosławski,Jarosław,Jarosław,ul. Głęboka,1,,sp.niepokalanki@gmail.com,468649110,edukacja@niepokalanki.pl,www.niepokalanki.pl,40012673,,180893314,20357,123293,171@mail.pl,sp.niepokalanki.jaroslaw.pl,Wiesława,Pipka,brak,brak,45,37,82,mała
172,20369,1207192,7941267437,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W CZERWONEJ WOLI CZERWONA WOLA 39 37-530 SIENIAWA,przeworski,Sieniawa,Czerwona Wola,,39,,dyr0@op.pl,166227301,zosip@sieniawa.pl,nie posiada,650900571,,1207192,20369,123294,172@mail.pl,www.czerwonawola.pl,Marzena,Świtalska,brak,brak,12,8,20,mała
173,20462,1197708,6842626660,SZKOŁA PODSTAWOWA IM. BOHATERÓW OPERACJI KARPACKO-DUKIELSKIEJ W IWLI,krośnieński,Dukla,Iwla,,22,134330003,szkolaiwla@poczta.fm,134329100,gmina@dukla.pl,www.dukla.pl/,370440531,6842364450,1197708,20462,123295,173@mail.pl,www.spiwla.szkolnastrona.pl,Jerzy,Rybka,brak,brak,19,20,39,mała
174,20534,1200280,6842627174,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W GŁOJSCACH,krośnieński,Dukla,Głojsce,ul. Szkolna,7,134330005,spglojsce@wp.pl,48134329100,gmina@dukla.pl,http://www.dukla.pl/,370440531,6842364450,1200280,20534,123296,174@mail.pl,spglojsce.pl,Elżbieta,Leśniak,brak,brak,27,11,38,mała
175,20631,1200340,6842053833,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W ŁĘKACH DUKIELSKICH,krośnieński,Dukla,Łęki Dukielskie,,74,134317504,szkolaleki@wp.pl,134329100,gmina@dukla.pl,www.dukla.pl,370440531,6842364450,1200340,20631,123297,175@mail.pl,https://spleki.szkolna.net/,Beata,Marciak,brak,brak,41,30,71,mała
176,20651,1252318,6852031313,SZKOŁA PODSTAWOWA IM JANA PAWŁA II W NIEPLI,jasielski,Jasło,Niepla,,195,,spniepla@interia.pl,134436669,gmina@gminajaslo.pl,https://samorzad.gov.pl/web/gmina-jaslo,370440264,,1252318,20651,123298,176@mail.pl,spniepla.yolasite.com,Maria,Fudali,brak,brak,15,12,27,mała
177,20675,1197170,6851643304,SZKOŁA PODSTAWOWA NR 2 IM. WINCENTEGO WITOSA W OSOBNICY,jasielski,Jasło,Osobnica,,389,,sp2osobnica@interia.pl,134436669,gmina@gminajaslo.pl,www.gminajaslo.pl ,370440264,,1197170,20675,123299,177@mail.pl,www.sp2osobnica.pl,Elżbieta,Biernacka,brak,brak,34,33,67,mała
178,20678,1208033,7952530795,SZKOŁA PODSTAWOWA IM. ADAMA MICKIEWICZA W UJKOWICACH,przemyski,Przemyśl,Ujkowice,,159,166717028,dyrektor@szkola.ujkowice.pl,168889407,w.goldyn@gminaprzemysl.pl,https://www.gminaprzemysl.pl/,650900298,,1208033,20678,123300,178@mail.pl,szkola.ujkowice.pl,Sławomir,Weiss,brak,brak,26,12,38,mała
179,20681,273086,0,SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W NEHRYBCE,przemyski,Przemyśl,Nehrybka,,188A,166711911,zsnehrybka@poczta.onet.pl,166704800,gminaprzemysl@home.pl,https://gminaprzemysl.pl/,650900298,,273086,20681,123301,179@mail.pl,www.zsnehrybka.pl,Małgorzata ,Janeczko,brak,brak,25,35,60,mała
180,20683,1249411,0,SZKOŁA PODSTAWOWA IM. ROTMISTRZA WITOLDA PILECKIEGO W GROCHOWCACH,przemyski,Przemyśl,Grochowce,,27,,zsgrochowce@wp.pl,1667804800,zsgrochowce@wp.pl,Grochowce 27,650900298,,1249411,20683,123302,180@mail.pl,Grochowce 27,Monika,Nizińska,brak,brak,27,39,66,mała
181,20685,1249428,7952530826,SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W HERMANOWICACH,przemyski,Przemyśl,Hermanowice,,78,166751833,sp_hermanowice@op.pl,168889407,w.goldyn@gminaprzemysl.pl,www.gminaprzemysl.pl,650900298,,1249428,20685,123303,181@mail.pl,www.szkola.hermanowice.pl,Grażyna,Benewiat,brak,brak,8,17,25,mała
182,20719,1321670,0,PUBLICZNA SZKOŁA PODSTAWOWA NR 11 IM. SZARYCH SZEREGÓW W STALOWEJ WOLI,stalowowolski,Stalowa Wola,Stalowa Wola,ul. Wojska Polskiego,9,,psp11@stalowawola.pl,156433478,um@stalowawola.pl,www.stalowawola.pl,830409086,,1321670,20719,123304,182@mail.pl,www.szkola11.pl,Agnieszka,Majka,brak,brak,238,115,353,duża
183,20720,1197105,6851984979,SZKOŁA PODSTAWOWA IM. JÓZEFA PIŁSUDSKIEGO W JARENIÓWCE,jasielski,Jasło,Jareniówka,,60,,spjareniowka@interia.pl,134436669,gmina@gminajaslo.pl,https://gminajaslo.bip.gov.pl/,370440264,,1197105,20720,123305,183@mail.pl,https://spjareniowka.wixsite.com/szkola,Jerzy ,Zięba,brak,brak,14,19,33,mała
184,20721,1139616,5170299584,SZKOŁA PODSTAWOWA NR 1 IM KARDYNAŁA STEFANA WYSZYŃSKIEGO W BRATKOWICACH,rzeszowski,Świlcza,Bratkowice,,398,178551007,sp1.bratkowice@swilcza.com.pl,178670100,ug.swilcza@intertele.pl,swilcza.com.pl,690582140,,1139616,20721,123306,184@mail.pl,sp1-bratkowice.pl,Joanna,Drozd-Ulijasz,brak,brak,51,58,109,mała
185,20723,691681654,8133009553,SZKOŁA PODSTAWOWA W TRZCIANIE,rzeszowski,Świlcza,Trzciana,,168,,sp.trzciana@swilcza.com.pl,178670100,ug.swilcza@intertele.pl,https://www.swilcza.com.pl,690582140,,691681654,20723,123307,185@mail.pl,https://www.sp-trzciana.pl,Artur,Flis,brak,brak,72,40,112,mała
186,20725,691681594,8133008217,SZKOŁA PODSTAWOWA IM. ŚW. JANA KANTEGO W ŚWILCZY,rzeszowski,Świlcza,Świlcza,,336,178560795,sp.swilcza@swilcza.com.pl,178670141,cuw@swilcza.com.pl,swilcza.com.pl/index.php/pl/telefony-cuw,690582140,,691681594,20725,123308,186@mail.pl,spswilcza.pl,Grzegorz,Duma,brak,brak,69,109,178,średnia
187,20828,1200327,6842053856,SZKOŁA PODSTAWOWA W JASIONCE,krośnieński,Dukla,Jasionka,,74,134330095,szkolajasionka@o2.pl,134329100,gmina@dukla.pl,http://dukla.pl/,370440531,6842364450,1200327,20828,123309,187@mail.pl,http://edujasionka.dukla.pl/,Ewa,Grębowiec,brak,brak,25,23,48,mała
188,20866,1200356,6842053827,SZKOŁA PODSTAWOWA W TYLAWIE,krośnieński,Dukla,Tylawa,,26,,tylawa@wp.pl,134329100,gmina@dukla.pl,www.dukla.pl,370440531,6842364450,1200356,20866,123310,188@mail.pl,www.sptylawa.pl,Aleksander,Kozieja,brak,brak,20,20,40,mała
189,20876,1130957,8171808090,SZKOŁA PODSTAWOWA W TRZCIANIE,mielecki,Czermin,Trzciana,,289,,sptrzciana@poczta.fm,177741922,ug@czermin.pl,czermin.pl,690581896,,1130957,20876,123311,189@mail.pl,sptrzciana.szkolna.net,Stanisław,Bieńko,brak,brak,33,35,68,mała
190,20988,1197536,6842149562,SZKOŁA PODSTAWOWA IM. ŚW. JANA Z DUKLI W DRAGANOWEJ,krośnieński,Chorkówka,Draganowa,,47,,draganowa@wp.pl,134386930,urzad@chorkowka.pl,www.chorkowka.pl,370440525,,1197536,20988,123312,190@mail.pl,www.spdraganowa.szkolnastrona.pl,Aneta,Nowak-Maluchnik,brak,brak,21,21,42,mała
191,21038,1136865,8191419693,SZKOŁA PODSTAWOWA IM. ŚW. RODZINY W LUTCZY,strzyżowski,Niebylec,Lutcza,,629,,zslutcza1@interia.pl,172773002,sekretariat@niebylec.com.pl,niebylec.pl,690582192,8191565408,1136865,21038,123313,191@mail.pl,zslutcza.gminaniebylec.pl,Marta,Czerkowicz,brak,brak,52,45,97,mała
192,21040,1136859,8191419718,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W KONIECZKOWEJ,strzyżowski,Niebylec,Konieczkowa,,58,177464000,zskonieczkowa@gmail.com,172773002,sekretariat@niebylec.com.pl,https://www.niebylec.pl/,690582192,8191565408,1136859,21040,123314,192@mail.pl,Konieczkowa,Bernadeta,Tymcio,brak,brak,38,19,57,mała
193,21041,676789,8191419635,SZKOŁA PODSTAWOWA IM. KS. JANA TWARDOWSKIEGO W NIEBYLCU,strzyżowski,Niebylec,Niebylec,,11,,spniebylec@gmail.com,172773002,sekretariat@niebylec.com.pl,https://www.niebylec.pl/,690582192,8191565408,676789,21041,123315,193@mail.pl,https://spniebylec.gminaniebylec.pl/,Anna,Kurecka,brak,brak,28,40,68,mała
194,21082,1136836,8191419902,SZKOŁA PODSTAWOWA IM. JULIANA PRZYBOSIA W GWOŹNICY GÓRNEJ,strzyżowski,Niebylec,Gwoźnica Górna,,292,,gwozjul@poczta.fm,172773002,sekretariat@niebylec.com.pl,https://www.niebylec.pl,690582192,8191565408,1136836,21082,123316,194@mail.pl,https://spgwoznicagorna.gminaniebylec.pl,Monika,Pyzik,brak,brak,26,38,64,mała
195,21084,180240285,8191419598,SZKOŁA PODSTAWOWA IM KSIĘDZA KARDYNAŁA STEFANA WYSZYŃSKIEGO W POŁOMI,strzyżowski,Niebylec,Połomia,,125,,polomia@poczta.fm,172773002,sekretariat@niebylec.com.pl,https://www.niebylec.pl/,690582192,8191565408,180240285,21084,123317,195@mail.pl,https://sppolomia.gminaniebylec.pl/,Barbara,Świstak,brak,brak,34,33,67,mała
196,21138,1197192,6852180183,SZKOŁA PODSTAWOWA IM. KS. PIOTRA SKARGI W WARZYCACH,jasielski,Jasło,Warzyce,,205,,gimwarzyce@interia.pl,134436669,gmina@gminajaslo.pl,https://samorzad.gov.pl/web/gmina-jaslo/strona-glowna,370440264,,1197192,21138,123318,196@mail.pl,https://zswarzyce.szkolnastrona.pl,Piotr,Wójtowicz,brak,brak,37,40,77,mała
197,21219,1197648,6842149415,SZKOŁA PODSTAWOWA IM. ŚW. JANA KANTEGO I ŚW. JANA PAWŁA II W ZRĘCINIE,krośnieński,Chorkówka,Zręcin,ul. Łukasiewicza,31,134318013,zszrecin@onet.pl,134386930,urzad@chorkowka.pl,https://chorkowka.pl/,370440525,,1197648,21219,123319,197@mail.pl,spzrecin.edupage.org,Paweł,Filipowicz,brak,brak,83,97,180,średnia
198,21249,650104236,7941055149,SZKOŁA PODSTAWOWA NR 3 IM JÓZEFA PIŁSUDSKIEGO,przeworski,Przeworsk,Przeworsk,ul. Gorliczyńska,148,166487457,sp3jp@wp.pl,166487844,info@przeworsk.um.gov.pl,https://przeworsk.um.gov.pl,650900499,,650104236,21249,123320,198@mail.pl,http://sp3.przeworsk.org,Lidia,Szopa,brak,brak,62,41,103,mała
199,21483,1197683,6842149616,SZKOŁA PODSTAWOWA IM. KS. STANISŁAWA KOŁODZIEJA W KOBYLANACH,krośnieński,Chorkówka,Kobylany,,187,,spkobylany@gmail.com,134386930,urzad@chorkowka.pl,www.chorkowka.pl,370440525,,1197683,21483,123321,199@mail.pl,www.spkobylany.szkolnastrona.pl,Katarzyna ,Pipka,brak,brak,16,25,41,mała
200,21517,1197401,6851997953,SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W CIEKLINIE,jasielski,Dębowiec,Cieklin,,337,134413103,spcieklin@poczta.onet.pl,134413028,gmina@debowiec.pl,debowiec.pl,370440318,,1197401,21517,123322,200@mail.pl,spcieklin.szkolna.net,Monika,Świtalska,brak,brak,56,52,108,mała
201,21518,1197594,6851997930,SZKOŁA PODSTAWOWA IM. PROF. DR. STANISŁAWA PAWŁOWSKIEGO W DĘBOWCU,jasielski,Dębowiec,Dębowiec,,500,134413079,zsdebowiec@wp.pl,480134413028,gmina@debowiec.pl,https://www.debowiec.pl/,370440318,,1197594,21518,123323,201@mail.pl,www.zsdebowiec.pl,Przemysław,Rybka,brak,brak,65,95,160,średnia
202,21519,1197430,6851997203,SZKOŁA PODSTAWOWA W DOBRYNI,jasielski,Dębowiec,Dobrynia,,53,134413205,spdobrynia@wp.pl,480134413028,gmina@debowiec.pl,https://www.debowiec.pl/,370440318,,1197430,21519,123324,202@mail.pl,https://spdobrynia.szkolna.net/,Bożena,Leśniak,brak,brak,15,18,33,mała
203,21524,1197424,6851997232,SZKOŁA PODSTAWOWA IM . MIKOŁAJA KOPERNIKA W ZARZECZU,jasielski,Dębowiec,Zarzecze,,143,134940400,sp.zarzecze@interia.pl,134413028,gmina@debowiec.pl,www.debowiec.pl,370440318,,1197424,21524,123325,203@mail.pl,www.sp.zarzecze.szkolnastrona.pl ,Irena,Marciak,brak,brak,33,26,59,mała
204,21528,691681631,8133012472,SZKOŁA PODSTAWOWA IM.STANISŁAWA DĄMBSKIEGO W RUDNEJ WIELKIEJ,rzeszowski,Świlcza,Rudna Wielka,,60,178553245,sp.rudna.wielka@swilcza.com.pl,178670100,ug.swilcza@intertele.pl,https://www.swilcza.com.pl,690582140,,691681631,21528,123326,204@mail.pl,sprudnawielka.pl,Małgorzata,Fudali,brak,brak,66,69,135,średnia
205,21549,1197542,6881288701,SZKOŁA PODSTAWOWA IM.ALEKSANDRA FREDRY W CISNEJ,leski,Cisna,Cisna,,58,134686327,boscisna@o2.pl,134686338,sekretariat@gminacisna.pl,https://gminacisna.pl/,370440011,,1197542,21549,123327,205@mail.pl,http://www.szkolawcisnej.pl/,Ludwik,Biernacka,brak,brak,38,37,75,mała
206,21880,1197157,6852171741,SZKOŁA PODSTAWOWA IM. ŚW. JANA KANTEGO W TRZCINICY,jasielski,Jasło,Trzcinica,,72,,sptrzcin@wp.pl,134436669,gmina@gminajaslo.pl,https://samorzad.gov.pl/web/gmina-jaslo,370440264,,1197157,21880,123328,206@mail.pl,http://sptrzcinica.szkolnastrona.pl/,Renata,Weiss,brak,brak,29,40,69,mała
207,21981,837442,8651427287,PUBLICZNA SZKOŁA PODSTAWOWA NR 5 IM. ENERGETYKÓW W STALOWEJ WOLI,stalowowolski,Stalowa Wola,Stalowa Wola,ul. Energetyków,18,,psp5@stalowawola.pl,"1,56433478156433E+017",um@stalowawola.pl,www.stalowawola.pl,830409086,,837442,21981,123329,207@mail.pl,http://zso1.idhost.pl,Dorota ,Janeczko,brak,brak,84,86,170,średnia
208,21992,1197186,6851580466,SZKOŁA PODSTAWOWA IM. MACIEJA RATAJA W OPACIU,jasielski,Jasło,Opacie,,b/n,,opacie@interia.pl,134436669,gmina@gminajaslo.pl,https://samorzad.gov.pl/web/gmina-jaslo/strona-glowna,370440264,,1197186,21992,123330,208@mail.pl,http://spopacie.szkolnastrona.pl/,Ewa,Nizińska,brak,brak,14,22,36,mała
209,22330,271785,8132857115,SZKOŁA PODSTAWOWA IM. MIKOŁAJA KOPERNIKA W KRASNEM,rzeszowski,Krasne,Krasne,,742,178555224,zsp@krasne.edu.pl,172300200,sekretariat@gminakrasne.pl,www.gminakrasne.pl,690582111,,271785,22330,123331,209@mail.pl,www.krasne.edu.pl,Marek,Benewiat,brak,brak,129,164,293,duża
210,22483,1184640,8652227900,PUBLICZNA SZKOŁA PODSTAWOWA W PRZYSZOWIE,stalowowolski,Bojanów,Przyszów,ul. Jana Pawła II,64,,szkola.przyszow@poczta.fm,158708323,ug@bojanow.pl,www.bojanow.pl,830409100,,1184640,22483,123332,210@mail.pl,www.zspprzyszow.bojanow.pl,Anna,Majka,brak,brak,56,61,117,mała
211,22585,1197690,6842149591,SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W KOPYTOWEJ,krośnieński,Chorkówka,Kopytowa,,59,134314132,kopytowa@wp.pl,134386930,urzad@chorkowka.pl,https://chorkowka.pl/,370440525,,1197690,22585,123333,211@mail.pl,https://spkopytowa.edupage.org,Włodzimierz,Zięba,brak,brak,44,44,88,mała
212,22875,691689101,8132703441,OGÓLNOKSZTAŁCĄCA SZKOŁA MUZYCZNA I STOPNIA,m. Rzeszów,M. Rzeszów,Rzeszów,ul. Jana III Sobieskiego,15,,sekretariat@zsm2.resman.pl,178754588,ed@erzeszow.pl,nie posiada,690581353,,691689101,22875,123334,212@mail.pl,http://zsm2.rzeszow.pl/,Maria,Drozd-Ulijasz,brak,brak,43,35,78,mała
213,22910,568002,8171814357,SZKOŁA PODSTAWOWA IM.GEN.W.SIKORSKIEGO W TUSZOWIE NARODOWYM Z FILIĄ W GROCHOWEM,mielecki,Tuszów Narodowy,Tuszów Narodowy,,231,177743747,sptuszow@wp.pl,177743739,oswiata@tuszownarodowy.pl,https://www.tuszownarodowy.pl,690581933,8171984740,568002,22910,123335,213@mail.pl,https://www.zsptuszownarodowy.pl/,Małgorzata,Flis,brak,brak,50,59,109,mała
214,22964,1139792,8171887333,SZKOŁA PODSTAWOWA W JAŚLANACH IM.BŁ.KS.JERZEGO POPIEŁUSZKI,mielecki,Tuszów Narodowy,Jaślany,,432,,zsjaslany@tuszownarodowy.pl,177743739,oswiata@tuszownarodowy.pl, www.tuszownarodowy.pl,690581933,8171984740,1139792,22964,123336,214@mail.pl,www.zsjaslany.edupage.org,Zygmunt,Duma,brak,brak,28,35,63,mała
215,23525,1246401,0,SZKOŁA PODSTAWOWA IM. TYTUSA TRZECIESKIEGO W MIEJSCU PIASTOWYM,krośnieński,Miejsce Piastowe,Miejsce Piastowe,ul. Szkolna,24,134353091,zspmiejscep@gmail.com,134353012,cuw@miejscepiastowe.pl,www.miejscepiastowe.pl,370440583,,1246401,23525,123337,215@mail.pl,http.spmiejscep.szkolna.net,Małgorzata,Grębowiec,brak,brak,32,52,84,mała
216,23589,1133230,8172123164,SZKOŁA PODSTAWOWA IM.KS.KARDYNAŁA STEFANA WYSZYŃSKIEGO W MALINIU,mielecki,Tuszów Narodowy,Malinie,,220,177743220,spmalinie@tuszownarodowy.pl,177743720,gmina@tuszownarodowy.pl,www.tuszownarodowy.pl,690581933,8171984740,1133230,23589,123338,216@mail.pl,zsmalinie.pl,Hiacynta ,Kozieja,brak,brak,68,72,140,średnia
217,23658,1277985,8171817769,SZKOŁA PODSTAWOWA W IZBISKACH,mielecki,Wadowice Górne,Izbiska,,71,,izbiska@go2.pl,146669751,sekretariat@wadowicegorne.pl,https://wadowicegorne.pl,851661234,,1277985,23658,123339,217@mail.pl, http://www.spizbiska.24tm.pl,Andrzej,Bieńko,brak,brak,15,17,32,mała
